name,student_number,score.percentage
Alexander,13,80.0
Evelyn,14,78.0
Ethan,15,82.0
Samuel,16,82.0
Henry,17,82.0
Layla,18,80.0
Olivia,19,82.0
Hazel,20,76.0
Jack,21,80.0
Caleb,22,80.0
James,23,82.0
Madison,24,80.0
Amelia,25,66.0
Dylan,26,78.0
Sophia,27,78.0
Oliver,28,78.0
Lucas,29,78.0
Aria,30,80.0
Emily,31,78.0
Riley,32,58.0
Harper,33,82.0
Nora,34,60.0
Benjamin,35,76.0
Natalie,36,82.0
Lily,37,80.0
Audrey,38,76.0
Ava,39,76.0
Connor,40,12.0
Grace,41,76.0
Stella,42,36.0
Daniel,43,80.0
Elijah,44,86.0
Nathan,45,80.0
Leo,46,80.0
William,47,80.0
Ryan,48,80.0
Jacob,49,78.0
Owen,50,76.0
Matthew,51,52.0
Zachary,52,76.0
Ella,53,80.0
Penelope,54,78.0
Charlotte,55,78.0
Zoe,56,70.0
Scarlett,57,80.0
Ruby,58,84.0
Isabella,59,80.0
Hannah,60,80.0
Violet,61,82.0
Bella,62,74.0
Noah,63,20.0
Brown,64,82.0
Moore,65,76.0
Lewis,66,84.0
Rodriguez,67,80.0
Gonzalez,68,78.0
Garcia,69,78.0
Anderson,70,82.0
Martin,71,80.0
Perez,72,82.0
Young,73,80.0
Ramirez,74,74.0
Hill,75,78.0
Nguyen,76,44.0
Taylor,77,78.0
Scott,78,84.0
Thomas,79,80.0
Ramirez,80,74.0
Allen,81,80.0
Davis,82,78.0
Harris,83,78.0
Thompson,84,78.0
Lewis,85,86.0
Lee,86,82.0
Sanchez,87,82.0
Wright,88,46.0
Lopez,89,78.0
Hill,90,76.0
Martin,91,82.0
Harris,92,82.0
Taylor,93,80.0
Johnson,94,62.0
Williams,95,84.0
Moore,96,82.0
Thompson,97,80.0
Scott,98,82.0
Ramirez,99,82.0
Thompson,100,78.0
Walker,101,80.0
Hernandez,102,78.0
Nguyen,103,68.0
Wright,104,74.0
Johnson,105,38.0
Flores,106,84.0
Miller,107,78.0
Johnson,108,78.0
Hernandez,109,78.0
Allen,110,82.0
