name,student_number,score.percentage
Alexander,13,84.0
Evelyn,14,82.0
Ethan,15,80.0
Samuel,16,84.0
Henry,17,84.0
Layla,18,80.0
Olivia,19,78.0
Hazel,20,80.0
Jack,21,78.0
Caleb,22,84.0
James,23,84.0
Madison,24,82.0
Amelia,25,82.0
Dylan,26,82.0
Sophia,27,84.0
Oliver,28,86.0
Lucas,29,82.0
Aria,30,84.0
Emily,31,82.0
Riley,32,82.0
Harper,33,84.0
Nora,34,84.0
Benjamin,35,82.0
Natalie,36,82.0
Lily,37,86.0
Audrey,38,88.0
Ava,39,82.0
Connor,40,84.0
Grace,41,86.0
Stella,42,82.0
Daniel,43,82.0
Elijah,44,86.0
Nathan,45,82.0
Leo,46,84.0
William,47,80.0
Ryan,48,82.0
Jacob,49,80.0
Owen,50,82.0
Matthew,51,78.0
Zachary,52,82.0
Ella,53,82.0
Penelope,54,84.0
Charlotte,55,82.0
Zoe,56,84.0
Scarlett,57,82.0
Ruby,58,86.0
Isabella,59,84.0
Hannah,60,82.0
Violet,61,84.0
Bella,62,80.0
Noah,63,82.0
Brown,64,82.0
Moore,65,82.0
Lewis,66,84.0
Rodriguez,67,84.0
Gonzalez,68,82.0
Garcia,69,80.0
Anderson,70,78.0
Martin,71,82.0
Perez,72,82.0
Young,73,80.0
Ramirez,74,82.0
Hill,75,82.0
Nguyen,76,82.0
Taylor,77,84.0
Scott,78,84.0
Thomas,79,84.0
Ramirez,80,86.0
Allen,81,80.0
Davis,82,80.0
Harris,83,82.0
Thompson,84,88.0
Lewis,85,82.0
Lee,86,82.0
Sanchez,87,80.0
Wright,88,82.0
Lopez,89,82.0
Hill,90,78.0
Martin,91,82.0
Harris,92,82.0
Taylor,93,84.0
Johnson,94,84.0
Williams,95,82.0
Moore,96,80.0
Thompson,97,82.0
Scott,98,84.0
Ramirez,99,82.0
Thompson,100,84.0
Walker,101,84.0
Hernandez,102,80.0
Nguyen,103,86.0
Wright,104,84.0
Johnson,105,82.0
Flores,106,82.0
Miller,107,82.0
Johnson,108,82.0
Hernandez,109,82.0
Allen,110,80.0
