name,student_number,score.percentage
Alexander,13,92.0
Evelyn,14,92.0
Ethan,15,56.0
Samuel,16,94.0
Henry,17,94.0
Layla,18,96.0
Olivia,19,86.0
Hazel,20,96.0
Jack,21,94.0
Caleb,22,94.0
James,23,94.0
Madison,24,94.0
Amelia,25,90.0
Dylan,26,96.0
Sophia,27,96.0
Oliver,28,96.0
Lucas,29,94.0
Aria,30,94.0
Emily,31,94.0
Riley,32,92.0
Harper,33,92.0
Nora,34,92.0
Benjamin,35,92.0
Natalie,36,90.0
Lily,37,94.0
Audrey,38,20.0
Ava,39,94.0
Connor,40,94.0
Grace,41,92.0
Stella,42,92.0
Daniel,43,94.0
Elijah,44,90.0
Nathan,45,96.0
Leo,46,94.0
William,47,94.0
Ryan,48,94.0
Jacob,49,10.0
Owen,50,96.0
Matthew,51,18.0
Zachary,52,96.0
Ella,53,96.0
Penelope,54,94.0
Charlotte,55,94.0
Zoe,56,94.0
Scarlett,57,34.0
Ruby,58,92.0
Isabella,59,94.0
Hannah,60,94.0
Violet,61,94.0
Bella,62,84.0
Noah,63,76.0
Brown,64,96.0
Moore,65,92.0
Lewis,66,94.0
Rodriguez,67,96.0
Gonzalez,68,92.0
Garcia,69,96.0
Anderson,70,92.0
Martin,71,94.0
Perez,72,92.0
Young,73,94.0
Ramirez,74,94.0
Hill,75,92.0
Nguyen,76,94.0
Taylor,77,94.0
Scott,78,96.0
Thomas,79,94.0
Ramirez,80,90.0
Allen,81,94.0
Davis,82,92.0
Harris,83,94.0
Thompson,84,94.0
Lewis,85,96.0
Lee,86,90.0
Sanchez,87,94.0
Wright,88,94.0
Lopez,89,96.0
Hill,90,94.0
Martin,91,94.0
Harris,92,94.0
Taylor,93,94.0
Johnson,94,96.0
Williams,95,96.0
Moore,96,94.0
Thompson,97,96.0
Scott,98,94.0
Ramirez,99,92.0
Thompson,100,92.0
Walker,101,96.0
Hernandez,102,94.0
Nguyen,103,90.0
Wright,104,94.0
Johnson,105,22.0
Flores,106,94.0
Miller,107,94.0
Johnson,108,92.0
Hernandez,109,94.0
Allen,110,92.0
