name,student_number,score.percentage
Alexander,13,84.0
Evelyn,14,90.0
Ethan,15,74.0
Samuel,16,88.0
Henry,17,90.0
Layla,18,80.0
Olivia,19,74.0
Hazel,20,86.0
Jack,21,84.0
Caleb,22,86.0
James,23,92.0
Madison,24,92.0
Amelia,25,38.0
Dylan,26,90.0
Sophia,27,92.0
Oliver,28,88.0
Lucas,29,90.0
Aria,30,82.0
Emily,31,90.0
Riley,32,90.0
Harper,33,86.0
Nora,34,86.0
Benjamin,35,92.0
Natalie,36,92.0
Lily,37,92.0
Audrey,38,84.0
Ava,39,88.0
Connor,40,74.0
Grace,41,90.0
Stella,42,90.0
Daniel,43,92.0
Elijah,44,86.0
Nathan,45,90.0
Leo,46,90.0
William,47,92.0
Ryan,48,92.0
Jacob,49,42.0
Owen,50,90.0
Matthew,51,8.0
Zachary,52,90.0
Ella,53,90.0
Penelope,54,80.0
Charlotte,55,88.0
Zoe,56,90.0
Scarlett,57,86.0
Ruby,58,46.0
Isabella,59,90.0
Hannah,60,84.0
Violet,61,86.0
Bella,62,80.0
Noah,63,32.0
Brown,64,90.0
Moore,65,92.0
Lewis,66,80.0
Rodriguez,67,92.0
Gonzalez,68,50.0
Garcia,69,90.0
Anderson,70,90.0
Martin,71,92.0
Perez,72,88.0
Young,73,88.0
Ramirez,74,92.0
Hill,75,92.0
Nguyen,76,22.0
Taylor,77,90.0
Scott,78,92.0
Thomas,79,84.0
Ramirez,80,88.0
Allen,81,92.0
Davis,82,82.0
Harris,83,86.0
Thompson,84,88.0
Lewis,85,90.0
Lee,86,48.0
Sanchez,87,68.0
Wright,88,54.0
Lopez,89,92.0
Hill,90,92.0
Martin,91,92.0
Harris,92,90.0
Taylor,93,86.0
Johnson,94,84.0
Williams,95,90.0
Moore,96,86.0
Thompson,97,90.0
Scott,98,62.0
Ramirez,99,78.0
Thompson,100,74.0
Walker,101,68.0
Hernandez,102,86.0
Nguyen,103,88.0
Wright,104,86.0
Johnson,105,74.0
Flores,106,88.0
Miller,107,90.0
Johnson,108,88.0
Hernandez,109,90.0
Allen,110,86.0
