name,student_number,score.percentage
Alexander,13,90.0
Evelyn,14,90.0
Ethan,15,92.0
Samuel,16,90.0
Henry,17,90.0
Layla,18,94.0
Olivia,19,90.0
Hazel,20,92.0
Jack,21,90.0
Caleb,22,92.0
James,23,90.0
Madison,24,90.0
Amelia,25,88.0
Dylan,26,92.0
Sophia,27,88.0
Oliver,28,92.0
Lucas,29,86.0
Aria,30,88.0
Emily,31,88.0
Riley,32,90.0
Harper,33,92.0
Nora,34,92.0
Benjamin,35,92.0
Natalie,36,92.0
Lily,37,90.0
Audrey,38,88.0
Ava,39,92.0
Connor,40,90.0
Grace,41,90.0
Stella,42,90.0
Daniel,43,92.0
Elijah,44,88.0
Nathan,45,90.0
Leo,46,90.0
William,47,92.0
Ryan,48,90.0
Jacob,49,90.0
Owen,50,90.0
Matthew,51,90.0
Zachary,52,90.0
Ella,53,94.0
Penelope,54,94.0
Charlotte,55,90.0
Zoe,56,86.0
Scarlett,57,92.0
Ruby,58,88.0
Isabella,59,88.0
Hannah,60,88.0
Violet,61,90.0
Bella,62,88.0
Noah,63,90.0
Brown,64,88.0
Moore,65,90.0
Lewis,66,92.0
Rodriguez,67,92.0
Gonzalez,68,90.0
Garcia,69,90.0
Anderson,70,90.0
Martin,71,88.0
Perez,72,92.0
Young,73,90.0
Ramirez,74,92.0
Hill,75,90.0
Nguyen,76,92.0
Taylor,77,92.0
Scott,78,90.0
Thomas,79,90.0
Ramirez,80,94.0
Allen,81,90.0
Davis,82,92.0
Harris,83,92.0
Thompson,84,92.0
Lewis,85,86.0
Lee,86,88.0
Sanchez,87,92.0
Wright,88,92.0
Lopez,89,92.0
Hill,90,92.0
Martin,91,92.0
Harris,92,86.0
Taylor,93,92.0
Johnson,94,92.0
Williams,95,88.0
Moore,96,88.0
Thompson,97,86.0
Scott,98,88.0
Ramirez,99,88.0
Thompson,100,92.0
Walker,101,90.0
Hernandez,102,92.0
Nguyen,103,88.0
Wright,104,86.0
Johnson,105,92.0
Flores,106,88.0
Miller,107,88.0
Johnson,108,88.0
Hernandez,109,90.0
Allen,110,92.0
