name,student_number,score.percentage
Alexander,13,96.0
Evelyn,14,94.0
Ethan,15,96.0
Samuel,16,94.0
Henry,17,96.0
Layla,18,96.0
Olivia,19,90.0
Hazel,20,96.0
Jack,21,92.0
Caleb,22,96.0
James,23,94.0
Madison,24,92.0
Amelia,25,92.0
Dylan,26,94.0
Sophia,27,96.0
Oliver,28,92.0
Lucas,29,94.0
Aria,30,96.0
Emily,31,94.0
Riley,32,94.0
Harper,33,94.0
Nora,34,96.0
Benjamin,35,94.0
Natalie,36,92.0
Lily,37,94.0
Audrey,38,94.0
Ava,39,96.0
Connor,40,94.0
Grace,41,94.0
Stella,42,94.0
Daniel,43,90.0
Elijah,44,96.0
Nathan,45,94.0
Leo,46,96.0
William,47,96.0
Ryan,48,90.0
Jacob,49,88.0
Owen,50,96.0
Matthew,51,92.0
Zachary,52,94.0
Ella,53,92.0
Penelope,54,90.0
Charlotte,55,96.0
Zoe,56,92.0
Scarlett,57,94.0
Ruby,58,94.0
Isabella,59,92.0
Hannah,60,96.0
Violet,61,96.0
Bella,62,92.0
Noah,63,92.0
Brown,64,94.0
Moore,65,96.0
Lewis,66,96.0
Rodriguez,67,92.0
Gonzalez,68,94.0
Garcia,69,96.0
Anderson,70,94.0
Martin,71,92.0
Perez,72,96.0
Young,73,94.0
Ramirez,74,92.0
Hill,75,92.0
Nguyen,76,86.0
Taylor,77,92.0
Scott,78,92.0
Thomas,79,94.0
Ramirez,80,94.0
Allen,81,92.0
Davis,82,94.0
Harris,83,94.0
Thompson,84,96.0
Lewis,85,90.0
Lee,86,94.0
Sanchez,87,92.0
Wright,88,92.0
Lopez,89,96.0
Hill,90,90.0
Martin,91,96.0
Harris,92,96.0
Taylor,93,96.0
Johnson,94,92.0
Williams,95,92.0
Moore,96,90.0
Thompson,97,90.0
Scott,98,94.0
Ramirez,99,86.0
Thompson,100,94.0
Walker,101,96.0
Hernandez,102,94.0
Nguyen,103,96.0
Wright,104,96.0
Johnson,105,96.0
Flores,106,92.0
Miller,107,94.0
Johnson,108,94.0
Hernandez,109,92.0
Allen,110,92.0
