name,student_number,score.percentage
Alexander,13,2.0
Evelyn,14,80.0
Ethan,15,80.0
Samuel,16,82.0
Henry,17,80.0
Layla,18,80.0
Olivia,19,84.0
Hazel,20,82.0
Jack,21,80.0
Caleb,22,82.0
James,23,82.0
Madison,24,84.0
Amelia,25,82.0
Dylan,26,78.0
Sophia,27,78.0
Oliver,28,82.0
Lucas,29,84.0
Aria,30,84.0
Emily,31,82.0
Riley,32,80.0
Harper,33,82.0
Nora,34,78.0
Benjamin,35,84.0
Natalie,36,80.0
Lily,37,78.0
Audrey,38,80.0
Ava,39,82.0
Connor,40,82.0
Grace,41,82.0
Stella,42,80.0
Daniel,43,80.0
Elijah,44,82.0
Nathan,45,78.0
Leo,46,80.0
William,47,78.0
Ryan,48,82.0
Jacob,49,80.0
Owen,50,78.0
Matthew,51,76.0
Zachary,52,80.0
Ella,53,82.0
Penelope,54,78.0
Charlotte,55,82.0
Zoe,56,82.0
Scarlett,57,80.0
Ruby,58,80.0
Isabella,59,82.0
Hannah,60,78.0
Violet,61,82.0
Bella,62,82.0
Noah,63,78.0
Brown,64,82.0
Moore,65,82.0
Lewis,66,82.0
Rodriguez,67,80.0
Gonzalez,68,82.0
Garcia,69,82.0
Anderson,70,80.0
Martin,71,82.0
Perez,72,82.0
Young,73,82.0
Ramirez,74,82.0
Hill,75,80.0
Nguyen,76,76.0
Taylor,77,76.0
Scott,78,80.0
Thomas,79,80.0
Ramirez,80,82.0
Allen,81,84.0
Davis,82,82.0
Harris,83,82.0
Thompson,84,80.0
Lewis,85,82.0
Lee,86,82.0
Sanchez,87,80.0
Wright,88,82.0
Lopez,89,80.0
Hill,90,80.0
Martin,91,84.0
Harris,92,80.0
Taylor,93,82.0
Johnson,94,80.0
Williams,95,80.0
Moore,96,86.0
Thompson,97,84.0
Scott,98,82.0
Ramirez,99,78.0
Thompson,100,80.0
Walker,101,78.0
Hernandez,102,78.0
Nguyen,103,80.0
Wright,104,82.0
Johnson,105,78.0
Flores,106,80.0
Miller,107,84.0
Johnson,108,80.0
Hernandez,109,82.0
Allen,110,78.0
