name,student_number,score.percentage
Alexander,13,92.0
Evelyn,14,92.0
Ethan,15,92.0
Samuel,16,90.0
Henry,17,94.0
Layla,18,86.0
Olivia,19,88.0
Hazel,20,92.0
Jack,21,90.0
Caleb,22,88.0
James,23,88.0
Madison,24,92.0
Amelia,25,88.0
Dylan,26,88.0
Sophia,27,90.0
Oliver,28,92.0
Lucas,29,94.0
Aria,30,92.0
Emily,31,88.0
Riley,32,90.0
Harper,33,92.0
Nora,34,90.0
Benjamin,35,92.0
Natalie,36,90.0
Lily,37,92.0
Audrey,38,86.0
Ava,39,88.0
Connor,40,88.0
Grace,41,92.0
Stella,42,90.0
Daniel,43,94.0
Elijah,44,94.0
Nathan,45,92.0
Leo,46,90.0
William,47,92.0
Ryan,48,92.0
Jacob,49,90.0
Owen,50,90.0
Matthew,51,88.0
Zachary,52,92.0
Ella,53,90.0
Penelope,54,88.0
Charlotte,55,90.0
Zoe,56,92.0
Scarlett,57,88.0
Ruby,58,88.0
Isabella,59,88.0
Hannah,60,90.0
Violet,61,92.0
Bella,62,88.0
Noah,63,90.0
Brown,64,92.0
Moore,65,88.0
Lewis,66,92.0
Rodriguez,67,92.0
Gonzalez,68,90.0
Garcia,69,92.0
Anderson,70,92.0
Martin,71,92.0
Perez,72,90.0
Young,73,90.0
Ramirez,74,92.0
Hill,75,90.0
Nguyen,76,90.0
Taylor,77,88.0
Scott,78,88.0
Thomas,79,90.0
Ramirez,80,92.0
Allen,81,90.0
Davis,82,90.0
Harris,83,92.0
Thompson,84,90.0
Lewis,85,92.0
Lee,86,90.0
Sanchez,87,86.0
Wright,88,90.0
Lopez,89,92.0
Hill,90,90.0
Martin,91,90.0
Harris,92,88.0
Taylor,93,90.0
Johnson,94,92.0
Williams,95,92.0
Moore,96,90.0
Thompson,97,94.0
Scott,98,92.0
Ramirez,99,96.0
Thompson,100,88.0
Walker,101,94.0
Hernandez,102,94.0
Nguyen,103,94.0
Wright,104,92.0
Johnson,105,90.0
Flores,106,90.0
Miller,107,92.0
Johnson,108,90.0
Hernandez,109,88.0
Allen,110,90.0
